Company Name,Title,Description,Location,Started On,Finished On
Freelancer,Desenvolvedor de software e Mecatrônico,"Atuo como freelancer na criação de sites, portfólios interativos, softwares e projetos mecatrônicos",Brasil,Jan 2025,
MAHLE,Engenheiro de processos,"Trabalhei com automação de processos eletrônicos, manipulação e análise de dados, projeção e design 3D de dispositivos. Além de administrar documentações para processos industriais de linha automotiva.","Arujá, São Paulo, Brasil",Jul 2023,Dec 2024
